Wavelength(Angstrom),Flux(10e-16 erg/s/cm2),Flux_error(10e-16 erg/s/cm2)
4433.57784061,9.89982568477,0.262838442892
4434.72945418,10.0259541846,0.262244940803
4435.88106774,10.0717871373,0.263880740095
4437.03268131,9.90784602799,0.26754084887
4438.18429487,10.3600525663,0.286884798366
4439.33590844,10.5686206653,0.28576678105
4440.487522,10.8787998954,0.28375305948
4441.63913556,10.7035350144,0.273671382174
4442.79074913,10.8599089431,0.283235641463
4443.94236269,10.781282051,0.27653121025
4445.09397626,10.4996658307,0.271396056463
4446.24558982,9.85504728801,0.279786893879
4447.39720339,10.7929361656,0.276036341176
4448.54881695,10.5875391462,0.26447710423
4449.70043052,11.0452884564,0.273959671161
4450.85204408,11.216499226,0.280244490194
4452.00365765,11.3540457299,0.294601500126
4453.15527121,11.7082039695,0.296655753547
4454.30688477,12.0927357517,0.301320191934
4455.45849834,12.5661361132,0.299454403344
4456.6101119,12.1591018419,0.287025617594
